Date,Rate,High (est),Low (est)
2015-11-12,3.7689,0.0,0.0
2015-11-11,3.7697,0.0,0.0
2015-11-10,3.7499,0.0,0.0
2015-11-09,3.78128,3.8266,3.7365
2015-11-06,3.77935,0.0,0.0
2015-11-05,3.78614,0.0,0.0
2015-11-04,3.79816,0.0,0.0
2015-11-03,3.84022,3.886,3.7949
2015-11-02,3.87219,0.0,0.0
2015-10-30,3.89501,0.0,0.0
2015-10-29,3.89501,3.9423,3.8483
2015-10-28,3.89446,3.9424,3.8471
2015-10-27,3.89533,0.0,0.0
2015-10-26,3.88813,0.0,0.0
2015-10-23,3.91345,3.9611,3.8663
2015-10-22,3.92949,0.0,0.0
2015-10-21,3.90868,3.9561,3.8619
2015-10-20,3.89636,0.0,0.0
2015-10-19,3.87504,3.9206,3.83
2015-10-16,3.81415,3.8609,3.768
2015-10-15,3.8341,3.8817,3.787
2015-10-14,3.84164,0.0,0.0
2015-10-13,3.782,3.8284,3.7362
2015-10-12,3.76693,3.8089,3.7255
2015-10-09,3.80769,0.0,0.0
2015-10-08,3.85792,3.9054,3.811
2015-10-07,3.86552,0.0,0.0
2015-10-06,3.90522,0.0,0.0
2015-10-05,3.94912,3.9953,3.9035
2015-10-02,3.98216,4.029,3.9358
2015-10-01,3.98604,4.0347,3.9379
2015-09-30,4.0543,4.1012,4.008
2015-09-29,4.06389,4.1118,4.0166
2015-09-28,4.06194,0.0,0.0
2015-09-25,4.12643,0.0,0.0
2015-09-24,4.12643,0.0,0.0
2015-09-23,4.04905,4.094,4.0046
2015-09-22,3.98871,0.0,0.0
2015-09-21,3.93751,3.981,3.8945
2015-09-18,3.8827,0.0,0.0
2015-09-17,3.85057,3.8935,3.8081
2015-09-16,3.84432,3.8887,3.8005
2015-09-15,3.84368,0.0,0.0
2015-09-14,3.86194,3.9045,3.8198
2015-09-11,3.84056,0.0,0.0
2015-09-10,3.8099,0.0,0.0
2015-09-09,3.81442,3.8608,3.7686
2015-09-08,3.83074,0.0,0.0
2015-09-07,3.81554,3.8624,3.7693
2015-09-04,3.76633,0.0,0.0
2015-09-03,3.74316,0.0,0.0
2015-09-02,3.68867,3.7328,3.6451
2015-09-01,3.63007,3.6744,3.5863
2015-08-31,3.59097,3.6336,3.5489
2015-08-28,3.56998,0.0,0.0
2015-08-27,3.59449,0.0,0.0
2015-08-26,3.59178,0.0,0.0
2015-08-25,3.54278,3.5852,3.5008
2015-08-24,3.50603,3.5493,3.4632
2015-08-21,3.47606,3.5163,3.4363
2015-08-20,3.48066,3.5213,3.4405
2015-08-19,3.47643,3.5168,3.4365
2015-08-18,3.48061,0.0,0.0
2015-08-17,3.49258,3.5336,3.452
2015-08-14,3.49993,0.0,0.0
2015-08-13,3.4848,3.5279,3.4422
2015-08-12,3.47119,3.5134,3.4295
2015-08-11,3.47232,3.5151,3.4301
2015-08-10,3.50688,0.0,0.0
2015-08-07,3.51981,0.0,0.0
2015-08-06,3.49508,0.0,0.0
2015-08-05,3.46861,0.0,0.0
2015-08-04,3.44866,3.4872,3.4105
2015-08-03,3.4158,0.0,0.0
2015-07-31,3.36938,3.4067,3.3325
2015-07-30,3.34648,3.3844,3.309
2015-07-29,3.35804,3.3989,3.3177
2015-07-28,3.36614,3.4043,3.3284
2015-07-27,3.33918,3.3797,3.2992
2015-07-24,3.28498,3.3254,3.245
2015-07-23,3.22571,0.0,0.0
2015-07-22,3.19086,3.2268,3.1553
2015-07-21,3.19279,0.0,0.0
2015-07-20,3.18657,3.226,3.1476
2015-07-17,3.15629,0.0,0.0
2015-07-16,3.14126,3.1766,3.1063
2015-07-15,3.1392,3.1779,3.1009
2015-07-14,3.1432,3.1796,3.1072
2015-07-13,3.17668,3.2152,3.1386
2015-07-10,3.21599,0.0,0.0
2015-07-09,3.218,0.0,0.0
2015-07-08,3.1847,3.2215,3.1483
2015-07-07,3.15433,3.1903,3.1187
2015-07-06,3.13501,0.0,0.0
2015-07-03,3.12115,3.1558,3.0869
2015-07-02,3.12841,3.1641,3.0931
2015-07-01,3.1154,3.1511,3.0801
2015-06-30,3.12813,0.0,0.0
2015-06-29,3.14199,3.1798,3.1046
2015-06-26,3.11865,0.0,0.0
2015-06-25,3.09556,3.1309,3.0607
2015-06-24,3.08589,0.0,0.0
2015-06-23,3.0907,3.1262,3.0556
2015-06-22,3.08255,0.0,0.0
2015-06-19,3.0651,0.0,0.0
2015-06-18,3.06771,0.0,0.0
2015-06-17,3.09901,3.1362,3.0623
2015-06-16,3.11936,0.0,0.0
2015-06-15,3.11303,3.1489,3.0776
2015-06-12,3.10906,0.0,0.0
2015-06-11,3.1139,3.1518,3.0764
2015-06-10,3.10103,0.0,0.0
2015-06-09,3.11891,0.0,0.0
2015-06-08,3.13939,0.0,0.0
2015-06-05,3.14463,0.0,0.0
2015-06-04,3.13594,0.0,0.0
2015-06-03,3.14133,3.1787,3.1044
2015-06-02,3.16845,0.0,0.0
2015-06-01,3.17695,3.2148,3.1396
2015-05-29,3.16224,3.2004,3.1246
2015-05-28,3.15383,0.0,0.0
2015-05-27,3.14068,3.1775,3.1043
2015-05-26,3.11059,3.1461,3.0754
2015-05-25,3.08409,0.0,0.0
2015-05-22,3.0387,0.0,0.0
2015-05-21,3.02207,3.0564,2.9881
2015-05-20,3.02593,3.0624,2.9899
2015-05-19,3.0123,0.0,0.0
2015-05-18,3.00162,3.0354,2.9682
2015-05-15,3.00601,0.0,0.0
2015-05-14,3.02405,0.0,0.0
2015-05-13,3.03111,3.0669,2.9958
2015-05-12,3.03001,0.0,0.0
2015-05-11,3.00524,0.0,0.0
2015-05-08,3.02122,0.0,0.0
2015-05-07,3.04135,0.0,0.0
2015-05-06,3.06248,0.0,0.0
2015-05-05,3.06656,3.1046,3.029
2015-05-04,3.03592,0.0,0.0
